Average Voltage (V),Average Pulse Length (us),Average Drop Volume (pl),Drop Pitch (um),Line Pitch (um),nº of drops,Total Volume Deposited (ul),Amine (%)
135.0,26.0,185.0,175,75.0,1904.761904761905,0.3523809523809524,1.14
110.0,23.0,190.0,200,50.0,2500.0,0.475,1.14
135.0,26.0,190.0,175,50.0,2857.1428571428573,0.5428571428571428,1.14
145.0,27.0,220.0,100,100.0,2500.0,0.55,1.14
130.0,26.0,219.0,95,95.0,2770.0831024930744,0.6066481994459832,1.14
132.5,26.5,225.0,95,95.0,2770.0831024930744,0.6232686980609418,1.14
170.0,25.0,210.0,170,45.0,3267.97385620915,0.6862745098039216,2.0
150.0,25.5,205.0,85,85.0,3460.207612456747,0.7093425605536331,2.0
142.5,26.0,205.0,85,85.0,3460.207612456747,0.7093425605536331,2.0
147.0,25.5,205.0,85,85.0,3460.207612456747,0.7093425605536331,2.0
160.0,26.0,220.0,220,35.0,3246.753246753247,0.7142857142857143,2.0
161.0,26.0,220.0,220,35.0,3246.753246753247,0.7142857142857143,2.0
160.0,26.0,220.0,170,45.0,3267.97385620915,0.7189542483660131,2.0
160.0,26.0,220.0,170,45.0,3267.97385620915,0.7189542483660131,2.0
160.0,26.0,220.0,250,30.0,3333.333333333333,0.7333333333333333,2.0
160.0,26.0,220.0,250,30.0,3333.333333333333,0.7333333333333333,2.0
151.0,25.5,212.0,85,85.0,3460.207612456747,0.7335640138408304,2.0
152.5,25.0,212.5,85,85.0,3460.207612456747,0.7352941176470588,2.3
145.0,26.0,215.0,85,85.0,3460.207612456747,0.7439446366782005,2.0
145.0,26.0,215.0,85,85.0,3460.207612456747,0.7439446366782005,2.0
165.0,26.0,180.0,200,30.0,4166.666666666666,0.7499999999999999,2.0
155.0,26.0,217.5,85,85.0,3460.207612456747,0.7525951557093424,2.0
130.0,27.0,190.0,125,50.0,4000.0,0.76,1.14
145.0,27.0,220.0,85,85.0,3460.207612456747,0.7612456747404843,1.5
160.0,26.0,220.0,85,85.0,3460.207612456747,0.7612456747404843,2.0
160.0,26.0,220.0,85,85.0,3460.207612456747,0.7612456747404843,2.0
130.0,27.0,190.0,175,35.0,4081.632653061225,0.7755102040816327,1.14
152.5,26.0,226.0,85,85.0,3460.207612456747,0.7820069204152249,2.0
151.5,25.5,228.0,85,85.0,3460.207612456747,0.7889273356401384,2.0
